fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,May,16,KERALA,1601,KASARGOD,433892,465.403946314918,9,15,1.528,428,0,12762,73689,5342,9556,12006,23765,4.5322,349.011714,8157,9096,99551,154033,1,173162,249694,13190,342.951514,61560,53,42.67,50.64,100,NA
2025-2026,May,16,KERALA,1603,WAYANAD,408036,451.661520040307,8,28,3.7985,600,0,8765,194508,12466,6464,74273,47152,4.85543,887.1717194,23152,25087,81120,140338,0,158750,261421,9365,878.5177894,167270,42,56.14,78.05,100.02,NA
2025-2026,May,16,KERALA,1604,KOZHIKODE,1016283,355.994864269189,8,61,0,1062,0,20427,419691,50454,36396,6644,3959,3.90904,1497.9874458,51581,54583,183495,293298,2,360624,534304,21489,1494.0784058,376450,37,51.89,84.08,100,NA
2025-2026,May,16,KERALA,1614,THIRUVANANTHAPURAM,1279645,345.262414596163,9,63,0,1148,0,23691,703774,111720,56468,10406,7790,3.89502,2433.7621257,71047,75418,216051,329465,0,399887,570285,24839,2429.8671057,607355,49,77.44,84.83,100,NA
2025-2026,May,16,KERALA,1602,KANNUR,551394,360.007192958625,10,48,0,1383,1,15186,397536,19195,8008,26159,13441,3.60738,1434.7655746,36949,38660,119908,177863,0,268107,370104,16569,1431.1581946,370805,40,57.89,86.22,100,NA
2025-2026,May,16,KERALA,1610,KOTTAYAM,339609,361.790098967607,12,19,0,949,0,10574,444792,63001,18753,14045,4169,2.71022,1611.923637,34612,36321,79099,121049,0,211008,295563,11523,1609.213417,411648,51,72.87,86.04,100,NA
2025-2026,May,16,KERALA,1613,KOLLAM,951352,364.348218076196,11,193,0,1978,0,20110,1029741,203591,58819,11143,2407,4.32625,3756.1692343,87901,92995,190293,303219,1,409259,596701,22088,3751.8429843,895065,40,75,88.9,100.01,NA
2025-2026,May,16,KERALA,1602,KANNUR,551394,362.716050417286,9,44,0,1236,1,15140,320763,15545,7995,20506,13439,3.60738,1167.0662648,32226,33683,119793,177687,0,267997,369946,16376,1163.4588848,299200,40,57.94,85.02,100,NA
2025-2026,May,16,KERALA,1607,THRISSUR,457256,342.829540833689,11,80,0.63,918,0,14812,390817,126537,46793,2305,2432,8.3568,1348.8229266,35483,37277,143375,189654,3,354500,434680,15730,1339.8361266,346127,50,44.61,82.5,100,NA
2025-2026,May,16,KERALA,1613,KOLLAM,951352,364.408836958121,10,185,0,1831,0,20004,897156,176360,58759,9449,2409,4.32625,3273.6419953,83904,88661,190100,302862,1,408164,595249,21835,3269.3157453,780200,40,75.17,88.83,100.01,NA
2025-2026,May,16,KERALA,1610,KOTTAYAM,339609,373.81980445155,10,19,0,796,0,10491,357763,50987,18736,11151,4163,2.71022,1340.099167,32901,34442,78987,120859,0,210840,295300,11287,1337.388947,330755,51,73.75,85.32,100,NA
2025-2026,May,16,KERALA,1612,PATHANAMTHITTA,296220,354.824893102753,11,56,0,885,0,8212,342151,99746,32938,4789,2084,0,1214.03692,29231,31429,62185,108857,1,165273,257777,9097,1214.03692,302643,44,68.16,92.09,100,NA
2025-2026,May,16,KERALA,1613,KOLLAM,951352,359.62638202701,11,191,0,1935,0,19981,965560,190489,58788,10366,2406,4.32625,3476.7347443,86377,91330,190156,302979,1,408848,596147,21916,3472.4084943,839533,40,75.13,88.84,100.01,NA
2025-2026,May,16,KERALA,1601,KASARGOD,433892,414.240548133445,9,18,3.108,896,0,12595,130990,9771,9569,18988,23799,4.5322,550.253894,13609,14877,99677,154294,1,173773,250552,13491,542.613694,113167,53,53.2,62.37,100,NA
2025-2026,May,16,KERALA,1608,ERNAKULAM,420758,348.55296004756,11,53,0,941,0,13009,454165,91087,30030,5994,2773,4.37833,1587.383881,38381,40203,98613,152112,0,274413,385850,13950,1583.005551,408155,49,60.57,72.38,100.01,NA
2025-2026,May,16,KERALA,1601,KASARGOD,433892,425.638387802557,9,16,1.528,624,0,12720,101923,7712,9562,15336,23781,4.5322,439.883614,10385,11455,99607,154155,1,173455,250126,13344,433.823414,86889,53,48.1,56.95,100,NA
2025-2026,May,16,KERALA,1605,MALAPPURAM,557518,360.335219794456,10,104,2.43225,2360,0,18511,335791,98423,57882,13426,5564,4.74471,1217.1501979,32693,35429,134842,219557,0,431705,621829,20871,1209.9732379,276255,67,39.4,69.59,100,NA
2025-2026,May,16,KERALA,1611,ALAPPUZHA,1028199,396.837988631825,9,176,2.7174409,1681,0,21553,650940,99892,43308,3786,1129,3.10636,2589.0010041,66494,70453,171948,273702,0,266831,398578,23234,2583.1772032,596193,32,64.98,81.8,100,NA
2025-2026,May,16,KERALA,1602,KANNUR,551394,357.906312539759,11,48,0,1408,1,15292,438581,21170,8008,29169,13450,3.60738,1573.3164646,39469,41284,119963,177958,0,268142,370167,16700,1569.7090846,409589,40,58.38,86.7,100,NA
2025-2026,May,16,KERALA,1606,PALAKKAD,739619,481.835689387191,9,49,8.727,2586,0,32567,334558,125664,81813,7913,20707,9.52904,1630.2758857,36939,39430,201380,290998,0,419787,569805,35153,1612.0198457,297368,60,67.96,73.79,100.01,NA
