fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Sep,36,TELANGANA,3641,Rajanna Sirsilla,1039585,268.080040428015,27,418,1231.53186473,1450,5,8903,987434,234525,35230,159003,12381,286.07526,4164.72059112996,36167,48391,60676,131842,47,99932,203454,10353,2647.11346639996,690034,15,45.61,79.7,100.38,NA
2025-2026,Sep,36,TELANGANA,3615,Vikarabad,3018513,278.65388054676,37,1559,5046.869803426,2632,19,24558,3402796,978167,76385,448934,37558,542.62094,15071.5138445159,91906,153741,128073,277764,229,192461,392170,27190,9482.02310108994,1922434,54,86.44,93.84,100.07,NA
2025-2026,Sep,36,TELANGANA,3629,Kamareddy,1961998,248.700503137857,19,1361,1664.45983689,1093,9,11954,1156681,225786,61360,232681,41114,465.71885,5006.85015358999,60426,87733,156975,304225,23,257661,491609,13047,2876.67146669999,683182,13,41.42,63.2,100.07,NA
2025-2026,Sep,36,TELANGANA,3631,Kumram Bheem(Asifabad),1818965,241.22946526014,35,811,793.169246815,1808,2,12483,2172159,360072,30976,777471,69145,332.71991,6365.776697115,61629,105482,89373,188210,133,123116,244383,14291,5239.8875403,1165539,30,36.29,71.98,100.08,NA
2025-2026,Sep,36,TELANGANA,3643,Wanaparthy,1334301,302.414172859022,20,465,1315.522932344,2485,5,10557,791379,123587,24746,105586,14590,289.18256,3997.947749374,38769,52352,70740,147113,33,134986,264277,13042,2393.24225703,539553,38,76.09,96.49,100.11,NA
2025-2026,Sep,36,TELANGANA,3646,Narayanpet,1045706,251.133988191254,24,332,2523.19574419,1673,0,8375,781116,114435,23117,66241,7346,248.54075,4733.38425739,32252,46685,66286,136321,49,116696,210800,10048,1961.6477632,501302,30,57.87,86.68,100,NA
2025-2026,Sep,36,TELANGANA,3621,Warangal,1169561,236.206777201281,23,805,258.1634932,1280,2,6635,1011478,151203,27535,283873,41122,317.45955,2964.80262909997,43425,64634,75627,163075,46,130208,265111,7915,2389.17958589997,662601,29,43.04,72.95,100.07,NA
2025-2026,Sep,36,TELANGANA,3638,Sangareddy,2597562,256.943956617431,24,818,2214.002898646,2719,24,14089,1718847,599409,79555,240401,33595,552.06645,7182.54283864602,69586,102314,125398,251909,29,229346,420671,16808,4416.47349000002,1057822,11,35.7,79.52,100.14,NA
2025-2026,Sep,36,TELANGANA,3644,Yadadri Bhuvanagiri,1386551,276.866804573201,25,1069,1771.809210021,2120,5,13645,1514388,308794,38206,188581,18804,467.58368,6432.23055446101,60537,77495,89738,179014,39,157648,292198,15765,4192.83766444001,1184631,42,77.85,91.95,100.03,NA
2025-2026,Sep,36,TELANGANA,3624,Jogulamba Gadwal,1211291,307.929592933249,15,386,1254.211030249,1892,0,12599,519588,141876,44442,7058,2876,270.76262,3124.93886357901,32692,50583,84167,192489,14,170674,365688,14491,1599.96521333001,272756,41,67.47,67.67,100.08,NA
